,Player ID,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Year,Years Below Median,Outliers,Outliers No Rookie,Number of Years Played,Name
456,5278,45.3333333333333,108.166666666667,0.833333333333333,11.6666666666667,8.5,5.83333333333333,2.28333333333333,24.2166666666667,0.160833333333333,0.430333333333333,0.299,0.320333333333333,0.4595,0.3355,,110.0,1.28333333333333,-1.63333333333333,-0.85,0.1,2012.5,2,0,0,5,Pedro Ciriaco
457,5297,87.0,327.6,10.0,41.9,35.1,6.5,12.67,21.92,0.1526,0.2673,0.2264,0.327,0.3791,0.3111,,95.5,1.88,1.39,-0.09,1.23,2017.5,3,1,0,4,Aaron Hicks
458,5298,4.0,4.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.25,0.0,0.173,,1.0,-0.2,-0.7,0.1,0.0,2013.0,4,1,0,4,Kyle Skipworth
459,5305,56.25,187.875,3.625,19.625,13.875,3.75,5.6875,22.6,0.09625,0.333125,0.25975,0.304375,0.356,0.29175,,82.0,0.1875,-1.9375,-2.95,0.1125,2013.5,4,0,0,5,Alex Presley
460,5306,28.3333333333333,69.3333333333333,1.5,7.83333333333333,5.33333333333333,1.66666666666667,9.66666666666667,28.0666666666667,0.0758333333333333,0.310833333333333,0.2145,0.300666666666667,0.290166666666667,0.2705,,65.3333333333333,0.766666666666667,-1.55,1.65,0.233333333333333,2015.83333333333,2,0,0,8,Kristopher Negron
461,5310,73.5,219.333333333333,8.16666666666667,27.3333333333333,29.6666666666667,2.33333333333333,6.28333333333333,27.85,0.153166666666667,0.263,0.208833333333333,0.2595,0.362333333333333,0.271333333333333,,58.5,0.75,-2.4,-1.18333333333333,0.333333333333333,2011.5,2,1,0,4,Tyler Colvin
462,5311,10.5,18.0,0.0,2.0,1.0,0.0,8.1,31.9,0.0715,0.3655,0.2265,0.3095,0.298,0.2775,,67.0,0.05,-0.8,-0.2,-0.05,2013.5,2,0,1,6,Chad Huffman
463,5312,6.0,11.0,0.0,1.0,1.0,0.0,9.1,9.1,0.1,0.111,0.1,0.182,0.2,0.179,,-4.0,0.0,-1.4,0.3,-0.1,2008.0,4,0,0,4,Brad Harman
464,5342,37.0,111.0,2.0,14.0,17.0,0.0,7.2,23.4,0.147,0.347,0.275,0.324,0.422,0.323,,99.0,-0.2,-0.3,-5.1,-0.2,2012.0,2,0,0,6,Mauro Gomez
465,5343,130.083333333333,493.166666666667,11.5833333333333,53.1666666666667,58.8333333333333,3.66666666666667,8.61666666666667,20.025,0.147416666666667,0.294583333333333,0.24975,0.31925,0.39725,0.308416666666667,,95.5833333333333,0.158333333333333,-1.825,10.6833333333333,2.53333333333333,2016.5,0,0,0,1,Brandon Crawford
466,5352,111.666666666667,440.833333333333,12.5,47.0,51.1666666666667,1.0,6.85,13.5666666666667,0.145,0.266833333333333,0.250333333333333,0.305833333333333,0.3955,0.303,,90.0,-2.91666666666667,-4.43333333333333,0.783333333333333,1.1,2016.5,3,0,1,5,Yangervis Solarte
