"Player ID","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","Year","Years Below Median","Outliers","Outliers No Rookie","Number of Years Played"
27,11,16,0,33,33,190.2,4.91,3.02,1.46,0.304,NA,5.57,NA,5.46,5.29,0.2,2006,0,0,0,2
535,13.5,8.25,0,32,31.75,187.825,5.555,2.8625,0.905,0.3065,NA,4.385,NA,4.25,4.4175,2.525,2008.25,1,0,0,1
573,10,11,0,33,33,182,5.93,3.21,1.34,0.294,91.7,4.95,NA,4.93,4.72,1.2,2008,0,0,0,1
633,11.3333333333333,9.66666666666667,0,32.3333333333333,32.3333333333333,191.133333333333,4.81666666666667,3.20666666666667,1.09666666666667,0.304,NA,4.56666666666667,NA,4.87666666666667,4.73666666666667,1.5,2007,0,0,0,1
944,11.8333333333333,12.5,0,33.1666666666667,32.8333333333333,195.4,6.28333333333333,3.99,0.976666666666667,0.280166666666667,NA,4.30666666666667,NA,4.58,4.875,1.66666666666667,2008.66666666667,1,0,0,1
976,12.25,10.25,0,33.5,33.5,207.875,6.4975,3.0575,1.045,0.27925,89.375,3.8475,NA,4.315,4.3775,2.175,2009.5,1,0,0,1
1118,10.6666666666667,8.66666666666667,0,32,30,181,7.82333333333333,3.16333333333333,1.29,0.248333333333333,89.5,3.86333333333333,3.67666666666667,4.38666666666667,4.88666666666667,2.36666666666667,2016,1,0,0,2
1245,12.25,11.25,0,32,31.5,203.525,6.59125,2.6975,1.07875,0.272875,NA,3.675,NA,4.2275,4.2,2.2375,2013.5,1,0,0,2
1259,13.25,11.5,0,31.5,31.5,193.85,7.41,2.455,1.2425,0.292,89.95,4.49,NA,4.18,4.205,2.675,2012.5,1,0,0,1
1478,11,6,0,29,27,162.1,7.71,3.94,0.72,0.31,91.3,4.32,NA,3.78,4.14,2.3,2013,0,0,0,3
1890,10,12.6666666666667,0,32,31.6666666666667,183.1,8.2,3.61333333333333,1.14333333333333,0.299333333333333,93.5666666666667,4.47,NA,4.28333333333333,4.67,1.8,2015,1,1,0,4
1931,8.5,14,0,32,32,192.05,6.03,4.63,1.15,0.297,94.2,5.4,NA,5.31,5.02,0.9,2007.5,1,0,0,1
1994,11.8333333333333,9.16666666666667,0.166666666666667,30.3333333333333,29.1666666666667,172.033333333333,6.43833333333333,2.26166666666667,1.29333333333333,0.304833333333333,93.1833333333333,4.32333333333333,NA,4.455,4.19333333333333,1.8,2015.5,3,1,0,4
2036,15.8888888888889,6.66666666666667,0,30.8888888888889,30.6666666666667,206.088888888889,9.88555555555556,2.39444444444444,0.683333333333333,0.268222222222222,93.3333333333333,2.39777777777778,NA,2.74222222222222,2.99555555555556,5.96666666666667,2013.33333333333,1,0,0,1
2038,10.75,12,0,33.5,31.25,198.775,7.4025,3.435,0.64,0.305,93.475,4.0725,NA,3.68,3.7475,3.525,2011.5,0,0,0,2
2072,10.375,12.5,0,32.375,30.875,197.125,5.36125,2.50375,1.2325,0.279625,93.3625,4.1825,NA,4.6725,4.56125,1.5875,2010.5,1,0,0,1
2074,19,6.5,0.5,32,31.5,208.55,3.92,2.405,0.455,0.2935,NA,3.665,NA,3.85,4.17,3.75,2006.5,1,0,0,2
2141,12,9,0,37,28,167.2,7.35,3.17,1.13,0.301,89.1,4.99,NA,4.22,4.15,1.2,2010,0,0,0,1
2155,14,11,0,31.5,31.5,191.55,5.725,2.92,1.085,0.2795,93.85,4.245,NA,4.55,4.41,1.35,2014.5,1,0,0,1
2429,15.5,9.16666666666667,0,31.8333333333333,31.8333333333333,209.066666666667,9.72166666666667,1.72,0.903333333333333,0.290666666666667,92.4833333333333,3.09166666666667,NA,2.96166666666667,3.10666666666667,5.56666666666667,2017,1,1,1,5
2520,13.2857142857143,8.57142857142857,0,30.1428571428571,29.2857142857143,176.242857142857,8.88142857142857,3.19,0.897142857142857,0.293142857142857,93.5857142857143,3.42,NA,3.67142857142857,3.98714285714286,3.12857142857143,2015.71428571429,0,0,0,2
2608,13.25,10.5,0,32.25,32.25,190.85,6.91,3.4325,0.805,0.26775,91.275,3.62,NA,3.9975,4.2325,2.75,2014.75,2,0,0,5
2660,15,7,0,28,28,172.2,6.1,2.81,0.94,0.293,90.9,4.22,NA,4.03,4.15,2.4,2010,0,0,0,1
2717,13.5454545454545,10.7272727272727,0,31.1818181818182,30.8181818181818,185,6.59909090909091,2.11636363636364,1.12909090909091,0.306818181818182,92.1090909090909,4.40818181818182,NA,4.10454545454545,4.03090909090909,2.53636363636364,2014,1,0,0,1
2859,10,8,0,33,27,164.1,5.75,2.85,0.82,0.263,93.9,3.4,NA,4.04,4.34,1.6,2012,0,0,0,1
2929,9,9,0,30,30,167.1,6.83,3.88,0.7,0.295,91.65,4.005,NA,3.99,4.065,1.2,2014,3,1,0,6
3126,8,10,0,30,25,166,5.64,3.2,0.81,0.31,93.1,4.23,NA,4.28,4.36,1.7,2012,2,0,0,4
3201,10.25,10,0,30.5,30,175.625,9.575,3.82,0.825,0.3,93.8,3.7675,NA,3.5825,3.4325,2.75,2013.75,1,0,0,1
3254,9.57142857142857,12.8571428571429,0,31.7142857142857,31.7142857142857,201.714285714286,8.09142857142857,2.31571428571429,1.12428571428571,0.289142857142857,94.6428571428571,3.97857142857143,NA,3.82857142857143,3.82714285714286,2.84285714285714,2015.14285714286,0,0,0,1
3292,8,12,0,33,27,172.1,6.42,2.92,1.46,0.29,93.7,4.75,NA,4.83,4.29,0.2,2014,1,0,0,3
3340,10.4,9.8,0.2,30.6,30.4,190.5,7.422,2.954,0.914,0.2778,94.14,3.704,NA,3.844,3.988,3.08,2010.4,1,0,0,1
3374,12.8571428571429,11.5714285714286,0,32.4285714285714,32.4285714285714,195.414285714286,8.33,3.96571428571429,0.757142857142857,0.298,94.3571428571429,3.97571428571429,NA,3.78,3.92714285714286,3.68571428571429,2011.14285714286,0,0,0,1
3403,12.75,10.75,0,31.25,31.25,198.5,6.97,3.98,0.9075,0.29375,92.2,4.18,NA,4.325,4.0875,2.25,2010.5,2,0,0,3
3455,7,16,0,32,32,190.1,5.25,4.11,0.99,0.256,88.4,4.16,NA,4.82,5.23,1.4,2008,2,0,1,6
