"Player ID","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","Year","Years Below Median","Outliers","Outliers No Rookie","Number of Years Played"
1753,86.25,164.25,0.5,19.75,11.5,5,8.675,17.125,0.0625,0.2775,0.22775,0.3045,0.29075,0.27075,NA,57,1.075,-7.5,2.25,0.025,2007.5,1,0,0,1
1765,44,90.5,3,11,9,2,5.5,20.95,0.1225,0.2525,0.2155,0.293,0.338,0.2845,NA,65,-0.7,-2.95,1.15,0.1,2006.5,0,0,0,1
1766,65.875,153.5,5.125,15.5,17.625,0.375,5.5375,28.8375,0.115125,0.237125,0.181625,0.227875,0.29675,0.229125,NA,36.375,0.5125,-2.775,0.2375,0.2375,2009.5,2,0,0,2
1803,88,146.5,1.5,18,8,2.5,9.7,25.7,0.1265,0.35,0.259,0.3375,0.385,0.3205,NA,88.5,0.35,-3.4,0.95,0.25,2006.5,1,0,0,2
1808,20.3333333333333,51,3.33333333333333,6.33333333333333,8.33333333333333,0,9.2,31.4,0.318333333333333,0.227666666666667,0.219333333333333,0.315666666666667,0.538333333333333,0.361666666666667,NA,121.333333333333,9.25185853854297e-18,5.55111512312578e-17,0.333333333333333,0.2,2008.33333333333,4,0,0,8
1829,36.375,114.625,0.875,9.25,8.125,0.25,4.9125,27.7125,0.064625,0.254375,0.184125,0.224375,0.248875,0.209875,NA,19.875,-0.3125,-8.875,-1.8,-0.725,2010.5,1,0,0,1
1830,107.3,368.5,7.7,36.3,35.7,3.7,5.23,19.92,0.1187,0.2848,0.2367,0.2864,0.3554,0.2791,NA,65.3,1.01,-12.88,6.95,0.58,2010.5,1,0,0,1
1861,82.5,250.5,8.875,28.125,32.5,0.875,7.9125,27.2625,0.156,0.28825,0.225,0.283875,0.381,0.2885,NA,74.75,-0.9,0.8375,-6.35,0.3125,2009.5,1,0,0,1
1863,73.8,209.2,1,22.8,18.8,2.8,5.8,13.66,0.07,0.274,0.237,0.285,0.307,0.2636,NA,58,0.44,-9.32,2.2,-0.08,2009.8,1,0,0,2
1867,52.3333333333333,136.666666666667,3.33333333333333,16.5,13.6666666666667,2.16666666666667,8.1,21.65,0.123166666666667,0.28,0.23,0.295833333333333,0.352666666666667,0.289833333333333,NA,74.8333333333333,-0.8,-1.81666666666667,-1.36666666666667,0.15,2010.33333333333,1,0,0,3
1872,88,191,2,24,18,5,7.3,22,0.104,0.302,0.237,0.298,0.341,0.279,NA,53,0.3,-11.4,0.5,-0.4,2006,0,0,0,1
1874,38.4,104.4,2.2,10.6,11.2,1.4,3.5,20.4,0.1128,0.3824,0.3634,0.3922,0.4762,0.383,NA,136,0.18,-2.26,-2.34,-0.12,2008.6,3,0,0,4
1876,101.6,401.4,1,54.8,19.8,32,5.42,14.54,0.054,0.3028,0.2578,0.3052,0.3116,0.279,NA,59.8,6.84,-10.4,5.26,0.78,2008,1,0,0,1
1878,69,155.5,4.5,14.5,15,0.5,10.95,23.8,0.1395,0.267,0.2195,0.309,0.3585,0.297,NA,82,-0.4,-4.05,-4.05,-0.25,2006.5,1,0,0,1
1883,23,24,0,5,1,6,0,20.8,0,0.118,0.091,0.167,0.091,0.134,NA,-22,0.8,-2.6,-1.5,-0.3,2012,1,0,0,4
1891,55,185.666666666667,6,21.6666666666667,20.6666666666667,0.666666666666667,9.96666666666667,31.1666666666667,0.127666666666667,0.349666666666667,0.24,0.319666666666667,0.368,0.307,NA,82.6666666666667,-0.566666666666667,-0.666666666666667,-2.4,0.333333333333333,2007.66666666667,1,0,0,2
1893,24.5,51,0,4.5,3,1,6.5,20.85,0.07,0.2585,0.2055,0.273,0.2755,0.2475,NA,44,-0.05,-5.45,-0.15,-0.35,2006.5,2,0,0,2
1907,61.375,146,2.25,15.25,12.375,0.5,5.9,15.775,0.122625,0.287875,0.251,0.303125,0.3735,0.296125,NA,78.75,-0.7125,-3.4125,-0.0875,0.125,2012.25,0,0,0,2
1915,10,11,1,1,2,0,0,27.3,0.273,0.286,0.273,0.273,0.545,0.351,NA,125,0.1,0.4,-0.7,0,2011,0,0,0,5
1919,121,355,15,37,33,3,5.4,18,0.195,0.239,0.228,0.269,0.423,0.294,NA,74,-1.7,-13.4,-4.6,-0.6,2006,1,0,0,1
1926,89.6666666666667,252.888888888889,10.3333333333333,29,31.5555555555556,3.66666666666667,6.62222222222222,23.4555555555556,0.187666666666667,0.298888888888889,0.251444444444444,0.306333333333333,0.439222222222222,0.323111111111111,NA,99.4444444444444,0.311111111111111,0.144444444444444,-1.35555555555556,0.677777777777778,2010,1,0,0,1
1940,67.4,169.6,1.2,18.4,13.4,4,6.74,19.82,0.1002,0.3004,0.2416,0.3004,0.3416,0.2844,NA,63.2,-0.28,-5.92,-1.7,-0.2,2008,1,0,0,1
1942,8,5,0,1,0,0,20,20,0,0,0,0.25,0,0.177,NA,-5,0.1,-0.6,0.5,0,2006,0,0,0,1
1954,22,39,0,2,4,0,5.1,12.8,0.088,0.2,0.176,0.216,0.265,0.182,NA,6,0,-4.8,0.4,-0.3,2006,1,0,0,1
